RunId,iteration,seed,completed,time_to_clear_all_waste,final_time,final_system_waste_total,width,height,n_waste,n_green_robots,n_yellow_robots,n_red_robots
0,0,,True,5601.0,9999.0,0.0,20,10,24,1,1,1
1,0,,True,2181.0,9999.0,0.0,20,10,24,1,1,2
2,0,,True,3589.0,9999.0,0.0,20,10,24,1,2,1
3,0,,True,3417.0,9999.0,0.0,20,10,24,1,2,2
4,0,,True,5829.0,9999.0,0.0,20,10,24,2,1,1
5,0,,True,4141.0,9999.0,0.0,20,10,24,2,1,2
6,0,,False,,9999.0,3.0,20,10,24,2,2,1
7,0,,False,,9999.0,3.0,20,10,24,2,2,2
8,0,,False,,9999.0,3.0,20,10,24,3,1,1
9,0,,False,,9999.0,3.0,20,10,24,3,1,2
10,0,,True,1931.0,9999.0,0.0,20,10,24,3,2,1
11,0,,False,,9999.0,3.0,20,10,24,3,2,2
12,0,,False,,9999.0,4.0,20,10,24,4,1,1
13,0,,True,2935.0,9999.0,0.0,20,10,24,4,1,2
14,0,,False,,9999.0,3.0,20,10,24,4,2,1
15,0,,True,1775.0,9999.0,0.0,20,10,24,4,2,2
16,0,,True,6685.0,9999.0,0.0,20,10,28,1,1,1
17,0,,True,3627.0,9999.0,0.0,20,10,28,1,1,2
18,0,,True,5573.0,9999.0,0.0,20,10,28,1,2,1
19,0,,False,,9999.0,2.0,20,10,28,1,2,2
20,0,,True,7857.0,9999.0,0.0,20,10,28,2,1,1
21,0,,True,2561.0,9999.0,0.0,20,10,28,2,1,2
22,0,,False,,9999.0,2.0,20,10,28,2,2,1
23,0,,False,,9999.0,3.0,20,10,28,2,2,2
24,0,,True,8273.0,9999.0,0.0,20,10,28,3,1,1
25,0,,True,3305.0,9999.0,0.0,20,10,28,3,1,2
26,0,,False,,9999.0,2.0,20,10,28,3,2,1
27,0,,False,,9999.0,2.0,20,10,28,3,2,2
28,0,,False,,9999.0,3.0,20,10,28,4,1,1
29,0,,True,3189.0,9999.0,0.0,20,10,28,4,1,2
30,0,,False,,9999.0,3.0,20,10,28,4,2,1
31,0,,False,,9999.0,2.0,20,10,28,4,2,2
32,0,,True,7469.0,9999.0,0.0,20,10,32,1,1,1
33,0,,True,4773.0,9999.0,0.0,20,10,32,1,1,2
34,0,,True,3065.0,9999.0,0.0,20,10,32,1,2,1
35,0,,True,3337.0,9999.0,0.0,20,10,32,1,2,2
36,0,,False,,9999.0,3.0,20,10,32,2,1,1
37,0,,True,5109.0,9999.0,0.0,20,10,32,2,1,2
38,0,,False,,9999.0,3.0,20,10,32,2,2,1
39,0,,True,2229.0,9999.0,0.0,20,10,32,2,2,2
40,0,,True,5377.0,9999.0,0.0,20,10,32,3,1,1
41,0,,True,3669.0,9999.0,0.0,20,10,32,3,1,2
42,0,,True,5391.0,9999.0,0.0,20,10,32,3,2,1
43,0,,False,,9999.0,2.0,20,10,32,3,2,2
44,0,,False,,9999.0,3.0,20,10,32,4,1,1
45,0,,True,4127.0,9999.0,0.0,20,10,32,4,1,2
46,0,,False,,9999.0,3.0,20,10,32,4,2,1
47,0,,False,,9999.0,3.0,20,10,32,4,2,2
48,1,,True,4381.0,9999.0,0.0,20,10,24,1,1,1
49,1,,True,4101.0,9999.0,0.0,20,10,24,1,1,2
50,1,,True,3761.0,9999.0,0.0,20,10,24,1,2,1
51,1,,True,3041.0,9999.0,0.0,20,10,24,1,2,2
52,1,,True,3267.0,9999.0,0.0,20,10,24,2,1,1
53,1,,True,4531.0,9999.0,0.0,20,10,24,2,1,2
54,1,,False,,9999.0,2.0,20,10,24,2,2,1
55,1,,True,2855.0,9999.0,0.0,20,10,24,2,2,2
56,1,,True,5095.0,9999.0,0.0,20,10,24,3,1,1
57,1,,True,2055.0,9999.0,0.0,20,10,24,3,1,2
58,1,,True,2851.0,9999.0,0.0,20,10,24,3,2,1
59,1,,True,2111.0,9999.0,0.0,20,10,24,3,2,2
60,1,,False,,9999.0,3.0,20,10,24,4,1,1
61,1,,False,,9999.0,3.0,20,10,24,4,1,2
62,1,,False,,9999.0,3.0,20,10,24,4,2,1
63,1,,False,,9999.0,3.0,20,10,24,4,2,2
64,1,,True,4117.0,9999.0,0.0,20,10,28,1,1,1
65,1,,True,3829.0,9999.0,0.0,20,10,28,1,1,2
66,1,,True,4805.0,9999.0,0.0,20,10,28,1,2,1
